has_spf,has_dkim,has_dmarc,domain_matches,auth_warn,has_suspect_subject,subject_is_uppercase,send_date_is_RFC2822_compliant,send_date_tz_is_valid,has_received_date,uppercase_body,script,images,https_only,mailto,links,bad_words_percentage,html,form,polarity,subjectivity,attachments,attach_is_executable,is_spam
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.0,0.125,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.02727272727272727,0.1859090909090909,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.00196078431372549,True,False,0.44152711323763966,0.3452950558213718,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.13333333333333333,0.4916666666666667,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.0,0.125,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.23437500000000003,0.6333333333333333,False,False,1
False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.02857142857142857,True,False,0.2,0.4533333333333333,False,False,1
False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,0.0,False,False,0.07812499999999999,0.51875,False,False,1
False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,0.0,False,False,0.07812499999999999,0.51875,False,False,1
False,True,False,True,False,False,False,True,True,True,False,False,False,False,False,True,0.0,False,False,0.0,0.0,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.06818181818181818,0.22727272727272727,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.5541666666666667,0.8166666666666668,False,False,1
False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,0.0,True,False,0.0,0.0,False,False,1
False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,True,0.0,True,False,0.0,0.12142857142857143,False,False,1
False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,True,0.0,True,False,0.0,0.0,False,False,1
False,False,False,False,False,False,True,True,True,True,False,False,False,True,False,True,0.0,False,False,0.29259259259259257,0.5271604938271605,False,False,1
False,False,False,False,False,False,True,True,True,True,False,False,False,True,False,True,0.0,False,False,0.29259259259259257,0.5271604938271605,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.02727272727272727,0.1859090909090909,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.0,0.125,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.13333333333333333,0.4916666666666667,False,False,1
False,False,False,False,False,True,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.0,0.0,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,True,0.0,False,False,0.0,0.375,False,False,1
False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,0.0,True,False,0.0,0.125,False,False,1
False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,0.0,True,False,0.2391025641025641,0.4064102564102564,False,False,1
False,False,False,False,False,False,False,True,True,True,False,False,True,True,False,True,0.0,True,False,-0.06666666666666665,0.5,False,False,1
False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,0.0,True,False,0.13636363636363635,0.45454545454545453,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.06818181818181818,0.22727272727272727,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.44152711323763966,0.3452950558213718,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,True,False,True,0.011194029850746268,True,False,0.347184065934066,0.44351648351648354,False,False,1
False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,0.0,False,False,0.0,0.75,False,False,1
False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,0.018691588785046728,True,False,0.18631553631553632,0.4102934102934103,False,False,1
False,False,False,True,False,False,False,True,True,True,False,False,False,True,False,True,0.0,False,False,0.1964603174603175,0.5106349206349208,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.0,0.125,False,False,1
False,False,False,False,False,False,True,True,True,True,False,False,False,False,True,False,0.0,True,False,0.0,0.0,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.44152711323763966,0.3452950558213718,False,False,1
False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.0,True,False,0.3223214285714286,0.5794642857142858,False,False,1
False,True,False,False,False,True,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.02727272727272727,0.1859090909090909,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,True,0.0,False,False,0.0,0.0,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.06818181818181818,0.22727272727272727,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.5541666666666667,0.8166666666666668,False,False,1
False,True,False,False,False,True,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.33601190476190473,0.5318027210884354,False,False,1
False,False,False,True,False,False,False,True,True,True,False,False,True,True,False,True,0.0,True,False,0.0,0.0,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,True,0.0,False,False,0.0,0.0,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.0,True,False,0.0,0.125,False,False,1
False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,True,0.02054794520547945,True,False,0.253125,0.3854166666666667,False,False,1
False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,True,0.0,True,False,0.5859375,0.75,False,False,1
